total,comarca,poblacion
8150.864090316978,liebana,valdeprado-pesaguero
8143.271602257924,liebana,valdeprado-pesaguero
8135.679114198872,liebana,valdeprado-pesaguero
8128.086626139819,liebana,valdeprado-pesaguero
8120.494138080765,liebana,valdeprado-pesaguero
8112.901650021711,liebana,valdeprado-pesaguero
8105.3091619626575,liebana,valdeprado-pesaguero
8097.716673903604,liebana,valdeprado-pesaguero
12463.423280423274,pasypisuena,escobedo de villafufre
12412.497761497754,pasypisuena,escobedo de villafufre
12361.572242572234,pasypisuena,escobedo de villafufre
12310.646723646714,pasypisuena,escobedo de villafufre
12259.721204721194,pasypisuena,escobedo de villafufre
12208.795685795689,pasypisuena,escobedo de villafufre
12157.870166870169,pasypisuena,escobedo de villafufre
12106.944647944649,pasypisuena,escobedo de villafufre
12056.019129019129,pasypisuena,escobedo de villafufre
12005.093610093609,pasypisuena,escobedo de villafufre
5668.750427350402,pasypisuena,san martin de toranzo
5461.056410256366,pasypisuena,san martin de toranzo
5253.362393162388,pasypisuena,san martin de toranzo
5045.668376068352,pasypisuena,san martin de toranzo
4837.974358974316,pasypisuena,san martin de toranzo
4630.280341880338,pasypisuena,san martin de toranzo
4422.586324786302,pasypisuena,san martin de toranzo
4214.892307692266,pasypisuena,san martin de toranzo
4007.1982905982877,pasypisuena,san martin de toranzo
3799.5042735042516,pasypisuena,san martin de toranzo
13074.039560439567,vallebesaysaja,barcena mayor-toriz
13109.50989010989,vallebesaysaja,barcena mayor-toriz
