total,comarca,poblacion
35393.299999999814,liebana,fuente de-teleferico
37402.89999999991,liebana,fuente de-teleferico
39412.5,liebana,fuente de-teleferico
41422.09999999963,liebana,fuente de-teleferico
43431.69999999972,liebana,fuente de-teleferico
45441.299999999814,liebana,fuente de-teleferico
406.0,liebana,mirador del cable-parque nacional picos de europa
406.0,liebana,mirador del cable-parque nacional picos de europa
406.0,liebana,mirador del cable-parque nacional picos de europa
406.0,liebana,mirador del cable-parque nacional picos de europa
406.0,liebana,mirador del cable-parque nacional picos de europa
406.0,liebana,mirador del cable-parque nacional picos de europa
406.0,liebana,mirador del cable-parque nacional picos de europa
406.0,liebana,mirador del cable-parque nacional picos de europa
406.0,liebana,mirador del cable-parque nacional picos de europa
406.0,liebana,mirador del cable-parque nacional picos de europa
16260.0,torrelavega,torrelavega-sierrapando
16960.0,torrelavega,torrelavega-sierrapando
17660.0,torrelavega,torrelavega-sierrapando
18360.0,torrelavega,torrelavega-sierrapando
19060.0,torrelavega,torrelavega-sierrapando
19760.0,torrelavega,torrelavega-sierrapando
20460.0,torrelavega,torrelavega-sierrapando
21160.0,torrelavega,torrelavega-sierrapando
21860.0,torrelavega,torrelavega-sierrapando
22560.0,torrelavega,torrelavega-sierrapando
12130.0,torrelavega,treceno
12130.0,torrelavega,treceno
12130.0,torrelavega,treceno
12130.0,torrelavega,treceno
12130.0,torrelavega,treceno
12130.0,torrelavega,treceno
12130.0,torrelavega,treceno
12130.0,torrelavega,treceno
12130.0,torrelavega,treceno
12130.0,torrelavega,treceno
